UserID,List Recommendation
27,"['Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'Cattleya', '688 Hotel Đà Lạt', 'Hanah Hotel Dalat', 'ARTIS Hotel Da Lat', 'Lasol Boutique Hotel', 'Dalat Luxury Hotel', 'Thanh Hùng Dalat Hotel', 'THIEN AN GUEST HOUSE', 'Torino Hotel Dalat', 'LE PHUONG Dalat', 'Dalat Eco Hotel', ""The Morris Boutique Hotel 2 - O'TEL"", 'Mia House Dalat', 'Greenview City Hotel', 'TALA Dalat Hotel', 'Carita Hotel', 'ALEX HOTEL Peony', 'AM Memory Central Hotel 2', 'Sunset Hill Dalat', 'Sam Ha Phuong Boutique Da Lat', 'Pho Nui Hotel', 'H Flower Hotel Đà Lạt - An An Hotel cũ', 'Đông Đức Hostel Đà Lạt']"
28,"['Hanoi Central Hotel & Residences', 'Hanoi Chic Boutique Hotel', 'Hanoi E Central Luxury Hotel', 'Hanoi Old Quarter Hotel & Travel', 'The Q Boutique Hotel', 'Loom Hotel Hanoi', 'Rex Hanoi Hotel', 'GRAND CITITEL Hanoi Hotel & Spa', 'Bespoke Trendy Hotel Hanoi', 'Hanoi Center Silk Premium Hotel & Spa & Travel', 'TrangTrang Premium Hotel & Sky Bar', 'LaHomestay Phủ Doãn', 'Amira Hotel Hanoi', 'Grande Collection Hotel & Spa', 'VietHome-Doorstep to Hoan Kiem Lake', 'Hanoi Hidden Guest House', 'Hanoi Center Silk Hotel & Travel', 'Golden Sail Hotel & Spa', 'Hanoi Le Chateau Hotel & Spa', ""H Hôtel L'Art Hanoi"", 'Du Palace Hotel & Travel', ""Hanoi L'Heritage Diamond Hotel & Spa"", 'Embrace Boutique Hanoi Hotel', 'Alisa Hotel & Spa', 'Silk Path Boutique Hanoi']"
29,"['Dalat Luxury Hotel', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'Cattleya', 'Đông Đức Hostel Đà Lạt', 'TALA Dalat Hotel', 'Thao My Hostel', 'Dalat ECO Hotel 2', 'Mia House Dalat', 'Phuong Anh Hotel', 'Thanh Thao Dalat Hotel', 'TTG Hostel In Da Lat', '688 Hotel Đà Lạt', 'H-Long Dalat Hotel - Ngay Trung Tâm', 'Lacasa May', 'AM Memory Central Hotel 2', 'TTR Midtown View Hotel', ""Hotel de L'aimeront"", 'KAT HOTEL - Bùi Thị Xuân', 'Khách sạn Hải Hoa Đà Lạt', 'Uyen Phuong Dalat Center By HOS', 'Marigold Hotel Dalat', 'H Flower Hotel Đà Lạt - An An Hotel cũ', 'Lavender Tim', ""The Morris Boutique Hotel 2 - O'TEL"", 'Nguyễn Tài Hostel & Coffee Đà Lạt']"
30,"['Ana Mandara Villas Dalat Resort & Spa', 'Moc Thach Hostel Dalat', 'Pi Boutique Hotel', 'Sunrise Valley Dalat Hotel', 'Le Macaron City Center - Boutique Hotel Đà Lạt', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'The Kadupul Homecation', '688 Hotel Đà Lạt', 'Khách Sạn Mỹ Hằng', 'Tường Vy Dalat Central', 'Dalat ECO Hotel 2', 'Casanova Dalat Hotel', 'Sunset Hill Dalat', 'Torino Hotel Dalat', ""Adalia Villa With ValeyView - O'TEL"", 'Dalat Luxury Hotel', 'Mia House Dalat', 'Cattleya', 'Lacami Dalat Hotel', 'DaLat Night', 'Goldient Boutique Hotel', 'AM Memory Central Hotel 2', 'The Luxe Da Lat', 'Dalat Eco Hotel', 'Đông Đức Hostel Đà Lạt']"
31,"['The Silk Boutique Hotel & Spa - Old Quarter City Center', 'Solare De Monte Hotel & Spa', 'Hanoi Media Hotel & Spa', 'T Boutique Hotel', 'La Sinfonía del Rey Hotel & Spa', 'Media Central Hotel & Spa', 'Hong Ngoc Dynastie Boutique Hotel & Spa', 'The Emissary Hanoi Hotel & Spa', 'Hanoi Center Silk Hotel & Travel', 'Hanoi Fiesta Grand Hotel and Spa', ""Hanoi L'Heritage Diamond Hotel & Spa"", 'La Renta Premier Hotel & Spa Hanoi', 'Kecho Legacy Hotel Hanoi & Spa', 'Shining Central Hotel & Spa', 'Hanoi de Garden Boutique Hotel & Spa', 'Hanoi Solis Hotel', 'Hanoi Le Chateau Hotel & Spa', 'PALAGO BOUTIQUE HOTEL', 'Alisa Hotel & Spa', 'Amira Hotel Hanoi', 'MAY DE VILLE Corner Hotel', 'Le Chanvre Hanoi Hotel & Spa', 'Hotel Omina Hanoi Travel', 'Hanoi Lion Boutique Hotel & Spa', 'Elegance Premium Hotel']"
33,"['Da Lat Lemongrass - Đà Lạt Sả', 'Belle Amour Hotel', 'Lasol Boutique Hotel', 'Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'Pearl Wealth Dalat Hotel', 'LE PHUONG Dalat', 'Pi Boutique Hotel', 'Pretty Backpackers House', 'ARTIS Hotel Da Lat', 'M Hotel Đà Lạt', 'Thanh Do Hotel', 'Pho Nui Hotel', ""The Morris Boutique Hotel 2 - O'TEL"", 'Torino Hotel Dalat', 'ALEX HOTEL Peony', 'Nụ Cười Xinh', 'D View Apartment', 'Dalat Eco Hotel', 'Hanah Hotel Dalat', 'THIEN AN GUEST HOUSE', 'Phuong Vy Luxury Hotel', ""LE'S DALAT SKY Hotel Da Lat"", 'Carita Hotel', '688 Hotel Đà Lạt']"
34,"['Torino Hotel Dalat', 'Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'THIEN AN GUEST HOUSE', 'Hanah Hotel Dalat', 'LE PHUONG Dalat', 'ARTIS Hotel Da Lat', 'Moc Tra Hotel', 'Lovely House', 'Tường Vy Dalat Central', 'Thanh Hùng Dalat Hotel', 'Cattleya', '688 Hotel Đà Lạt', 'HOÀNG DIỆU DALAT', 'Phu Tho Da Lat Hotel', 'Greenview City Hotel', 'Dalat Luxury Hotel', 'Pho Nui Hotel', 'Thanh Do Hotel', 'Dalat Memory Inn', 'Carita Hotel', 'Dalat Eco Hotel', 'Lasol Boutique Hotel', 'Hotel Làng Kò Hơ', 'Anh Quan Khoi Hotel']"
36,"['Torino Hotel Dalat', 'Gia Pham Hotel', 'Moc Thach Hostel Dalat', 'Hostel-John Cafe and Beer', 'Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', '688 Hotel Đà Lạt', 'Sweet Lavender Hotel', 'Scenery Hotel DaLat', 'Mia House Dalat', 'LE PHUONG Dalat', 'ALEX HOTEL Peony', 'Dalat Eco Hotel', 'Cattleya', 'Marigold Hotel Dalat', 'Khách Sạn Lối Về Đà Lạt', 'Khách sạn Nam Ngọc Đà Lạt', 'Soda Hotel Đà Lạt', 'ARTIS Hotel Da Lat', 'Carnival Hotel - Đà Lạt', 'Lasol Boutique Hotel', 'Lavender Tim', 'THIEN AN GUEST HOUSE', 'Đông Đức Hostel Đà Lạt', 'Dalat Luxury Hotel']"
37,"['Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'Cattleya', '688 Hotel Đà Lạt', 'Torino Hotel Dalat', 'Dalat Luxury Hotel', 'Hanah Hotel Dalat', 'ARTIS Hotel Da Lat', 'LE PHUONG Dalat', 'THIEN AN GUEST HOUSE', 'Thanh Hùng Dalat Hotel', 'Mia House Dalat', 'Lasol Boutique Hotel', 'AM Memory Central Hotel 2', 'Dalat Eco Hotel', 'Pho Nui Hotel', 'Đông Đức Hostel Đà Lạt', 'Soda Hotel Đà Lạt', 'Tường Vy Dalat Central', ""The Morris Boutique Hotel 2 - O'TEL"", 'Greenview City Hotel', 'Phu Tho Da Lat Hotel', 'Khách Sạn Lối Về Đà Lạt', 'Dalat Memory Inn', 'Marigold Hotel Dalat']"
38,"['Carita Hotel', 'Dalat ECO Hotel 2', 'Torino Hotel Dalat', 'LE PHUONG Dalat', 'Hanah Hotel Dalat', 'Tường Vy Dalat Central', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'THIEN AN GUEST HOUSE', 'ARTIS Hotel Da Lat', 'Lasol Boutique Hotel', 'Khách Sạn Lối Về Đà Lạt', 'HOÀNG DIỆU DALAT', 'Thanh Hùng Dalat Hotel', 'Tuyet Son Hotel', 'The Note Dalat', 'Dalat Eco Hotel', 'Phu Tho Da Lat Hotel', 'Dalat Luxury Hotel', 'Cattleya', 'Dalat Memory Inn', 'Diamond Hotel', 'Greenview City Hotel', 'Mai Khanh Hotel', 'Thanh Do Hotel', 'Vô Tư Luxury Hotel']"
39,"['Tuyet Son Hotel', 'The Note Dalat', 'The Green House Da Lat', 'La Fleur Premium Central Apartment Hotel', 'Dalat Family Hostel', 'Thanh Xuân Hotel', 'Torino Hotel Dalat', 'Lovely House', 'Bach Place Dalat', 'Phu Tho Da Lat Hotel', 'Tường Vy Dalat Central', 'Dalat ECO Hotel 2', 'Dalat Memory Inn', 'THIEN AN GUEST HOUSE', 'Wisteria Hotel Dalat', 'Dalat Paradise Hotel', 'Hotel Làng Kò Hơ', 'LE PHUONG Dalat', 'Hanah Hotel Dalat', 'Le Tuan Minh Hotel', 'Dalat Luxury Hotel', 'LuTo Hotel', 'Khách Sạn Lối Về Đà Lạt', 'Free Style Hotel Dalat', 'Kim Oanh Orchids Hotel']"
40,"['The Sail Hotel - My Khe Beach', 'Balcona Hotel Da Nang', 'Golden Lotus Hotel Da Nang - Rooftop Bar Sea View', 'KOVA Diamond Hotel Da Nang', 'Maximilan Danang Beach Hotel', 'Golden Lotus Grand Da Nang - Panoramic Rooftop Bar & Daily Afternoon Tea', 'M Hotel Danang', 'Leaf Beachfront Hotel Da Nang', 'Parosand Da Nang Hotel -Belle Maison Parosand Da Nang Hotel', 'LEGEND Boutique Hotel', 'Nesta Hotel Da Nang', 'Sunny Ocean Hotel & Spa', 'Ocean Bliss Hotel - Free Sauna', 'Prague Da Nang Beach Hotel', 'ELC Luxury Hotel Danang - An Thuong Walking Street', 'Mangata Beachfront Hotel - Rooftop Bar Sea View', 'Thè HEM Hotel and Apartment', 'voco Ma Belle Danang by IHG', 'Seashore Hotel & Apartment', 'Cosmos Hotel Danang', 'Menora Grand Da Nang', 'Stella Maris Beach Danang', 'Capecia Danang Hotel and Apartment', 'Golden Lotus Luxury Hotel Danang - Complimentary Daily Afternoon Tea', 'Monalisa Luxury Hotel']"
